ISO,Country,latitude,longitude,depth,mag,year,month,day,Total affected,Total deaths,Total damage ('000 US$),2017
IDN,Indonesia,-0.72,99.867,81.0,7.6,2009.0,9.0,30.0,2501798,1195,2200000,0.6940000000000001
IDN,Indonesia,-8.207,118.631,18.0,6.6,2009.0,11.0,8.0,1510,2,2430,0.6940000000000001
IDN,Indonesia,-2.174,136.543,18.0,7.0,2010.0,6.0,16.0,4600,17,0,0.6940000000000001
IDN,Indonesia,-3.487,100.08200000000001,20.1,7.8,2010.0,10.0,25.0,11864,530,0,0.6940000000000001
IDN,Indonesia,2.965,97.89299999999999,91.0,6.7,2011.0,9.0,5.0,0,10,5850,0.6940000000000001
IDN,Indonesia,-1.315,120.096,10.0,6.3,2012.0,8.0,18.0,7883,6,0,0.6940000000000001
IRN,Iran,33.007,60.276,33.0,4.9,2001.0,10.0,8.0,1000,0,0,0.7979999999999999
IRN,Iran,34.641999999999996,47.4,33.0,5.4,2002.0,4.0,24.0,20056,2,0,0.7979999999999999
IRN,Iran,35.626,49.047,10.0,6.5,2002.0,6.0,22.0,111300,227,300000,0.7979999999999999
IRN,Iran,34.594,47.45399999999999,33.0,5.2,2002.0,12.0,24.0,15015,0,0,0.7979999999999999
IRN,Iran,31.995,49.32899999999999,10.0,5.6,2002.0,9.0,25.0,5,0,0,0.7979999999999999
IRN,Iran,29.59,51.474,33.0,5.2,2003.0,1.0,11.0,10080,0,0,0.7979999999999999
